Age,Income,LoanAmount,CreditScore,Approved
22,71948,35000,561,1
21,12282,1000,504,0
25,12438,5500,635,1
23,79753,35000,675,1
24,66135,35000,586,1
21,12951,2500,532,1
26,93471,35000,701,1
24,95550,35000,585,1
24,100684,35000,544,1
21,12739,1600,640,1
22,102985,35000,621,1
21,13113,4500,651,1
23,114860,35000,573,1
26,130713,35000,708,1
23,138998,35000,583,0
23,600891,30000,670,0
23,144943,35000,663,0
23,111369,35000,694,1
23,136628,35000,709,1
24,14283,1750,679,1
25,195718,35000,684,0
25,165792,34800,662,0
22,79255,34000,691,1
24,13866,1500,600,0
22,97420,33950,691,1
24,82443,33000,654,1
21,14288,4575,626,1
23,14293,1400,607,0
24,79054,32500,700,1
21,14988,4000,553,1
21,14858,2000,589,1
25,144855,32000,586,0
26,114645,31050,681,1
25,368115,24250,567,0
26,361076,7800,669,0
21,15150,2500,600,1
22,58868,30000,606,1
24,78026,30000,582,1
25,90785,30000,649,1
23,86811,30000,602,1
26,75503,30000,616,1
24,15082,2500,631,1
26,361293,20000,684,0
23,361547,24250,637,0
26,360680,10000,649,0
26,360977,25000,695,0
25,361244,18000,620,0
26,98230,30000,622,1
22,80838,30000,645,1
26,107957,30000,654,1
24,94649,30000,624,1
23,94550,30000,570,1
23,111153,30000,648,1
23,117250,30000,652,1
25,144985,30000,559,0
26,337133,10000,623,0
26,333566,20000,602,0
23,333399,35000,609,0
25,154793,30000,573,0
24,15229,1750,631,0
21,158338,30000,623,0
22,331034,12000,602,0
26,316466,10000,579,1
25,267671,25000,582,1
22,85191,29100,700,1
22,15013,1500,688,0
26,313100,28000,607,0
25,311952,20000,661,0
24,306897,9600,562,0
25,301136,25000,664,0
25,15162,3000,564,1
22,69042,28000,598,1
21,15307,3000,557,1
23,79183,28000,677,1
26,102654,28000,690,1
26,15229,6100,599,1
22,106566,28000,604,1
21,15252,4200,663,1
22,15432,4750,601,1
24,100332,28000,634,1
24,300951,18000,671,0
144,300616,4800,789,0
25,121062,28000,622,0
26,133372,28000,538,0
26,15505,2700,587,1
22,130852,28000,683,1
23,182316,28000,634,0
24,83853,27600,690,1
21,15394,3250,518,1
22,85243,27500,583,1
22,288907,25000,617,0
26,89074,27050,668,1
24,100509,27000,673,1
24,88950,27000,706,1
23,75894,26000,536,1
23,145092,25600,557,0
24,15928,1600,689,0
22,73131,25475,681,1
25,281501,20000,623,0
24,281775,20000,595,0
26,281792,21600,584,0
25,266090,11900,669,1
26,279664,25000,642,0
25,277017,35000,622,0
23,100756,25300,689,1
22,16218,2000,614,1
25,16211,1750,597,0
21,51922,25000,673,1
24,50309,25000,625,1
25,16378,3000,603,1
24,16572,3650,589,1
26,272201,20000,670,0
25,271324,30000,637,0
26,256862,35000,643,1
24,271342,6000,508,0
24,16470,4500,643,1
23,16599,2400,505,1
22,51608,25000,593,1
26,58516,25000,686,1
